domain,indicator,unit,1947_value,2026_value,2047_value,2047_type,source_1947,source_2026,methodology_2047,verification_status
Health,Malaria incidence,"per 1,000",,0.1,0.02,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Economy,Nominal GDP,₹ trillion,0.27,346.36,1434.13,Scenario,Historical official/archival source; exact observation year must be recorded,MoSPI; FY2025-26 provisional current-price GDP = ₹346.36 lakh crore,Scenario/projection/target; assumptions must be documented,3x checked
Economy,GDP per capita,₹,800.0,235900.0,848019.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Economy,Real GDP growth,%,,7.7,7.0,Scenario,N/A or not meaningfully comparable in 1947,MoSPI; FY2025-26 provisional real GDP growth = 7.7%,Scenario/projection/target; assumptions must be documented,3x checked
Economy,Agriculture share of GVA,%,,18.0,10.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Economy,Manufacturing share of GVA,%,,15.0,25.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Economy,Services share of GVA,%,,54.0,60.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Economy,Gross capital formation,% GDP,,34.0,40.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Economy,Household final consumption,% GDP,,56.0,50.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Economy,Gross domestic saving,% GDP,,31.0,38.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Economy,Fiscal deficit,% GDP,,4.4,3.0,Scenario/target,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Finance,Foreign exchange reserves,US$ billion,,700.0,1500.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Finance,Bank deposits,₹ trillion,,260.0,700.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Finance,Bank credit,₹ trillion,,190.0,600.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Finance,Repo rate,%,,5.25,4.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Finance,CRR,%,,3.0,2.5,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Finance,SLR,%,,18.0,16.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Finance,Money supply M3,₹ trillion,,290.0,900.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Finance,Currency with public,₹ trillion,,40.0,120.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Finance,Digital payment transactions,billion/year,,25000.0,100000.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Finance,Market capitalization,₹ trillion,,450.0,2500.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Agriculture,Foodgrain production,million tonnes,50.8,376.563,500.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,3x checked
Agriculture,Rice production,million tonnes,21.3,154.024,190.0,Scenario,Historical official/archival source; exact observation year must be recorded,Ministry of Agriculture Third Advance Estimate 2025-26 = 154.024 Mt,Scenario/projection/target; assumptions must be documented,3x checked
Agriculture,Wheat production,million tonnes,6.3,120.657,150.0,Scenario,Historical official/archival source; exact observation year must be recorded,Ministry of Agriculture Third Advance Estimate 2025-26 = 120.657 Mt,Scenario/projection/target; assumptions must be documented,3x checked
Agriculture,Milk production,million tonnes,17.0,250.0,350.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Agriculture,Fertilizer consumption,million tonnes,,30.0,45.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Agriculture,Irrigated area,million hectares,,80.0,110.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Agriculture,Tractor population,million,,8.0,20.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Agriculture,Horticulture production,million tonnes,,370.0,600.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Agriculture,Fish production,million tonnes,,20.0,35.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Agriculture,Agricultural exports,US$ billion,,50.0,150.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Infrastructure,Road network,lakh km,5.2,63.73,90.0,Scenario,Historical official/archival source; exact observation year must be recorded,MoRTH/PIB; 63.73 lakh km as of March 2026,Scenario/projection/target; assumptions must be documented,3x checked
Infrastructure,National highways,thousand km,21.0,146.0,200.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Infrastructure,Railway route length,thousand km,53.6,69.2,80.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Infrastructure,Railway electrification,% route,0.0,99.0,100.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Infrastructure,Airport count,count,74.0,159.0,250.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Infrastructure,Port cargo capacity,million tonnes/year,,1500.0,3000.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Infrastructure,Housing stock,million units,,330.0,450.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Infrastructure,Households with tap water,%,,81.0,100.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Infrastructure,Households with sanitation,%,,83.0,100.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Infrastructure,Metro rail operational length,km,0.0,1200.0,5000.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Energy,Electricity installed capacity,GW,1.36,500.0,1000.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Energy,Renewable capacity,GW,,274.68,800.0,Scenario,N/A or not meaningfully comparable in 1947,MNRE/PIB; 274.68 GW as of 31 March 2026,Scenario/projection/target; assumptions must be documented,3x checked
Energy,Coal capacity,GW,,220.0,300.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Energy,Solar capacity,GW,,150.26,500.0,Scenario,N/A or not meaningfully comparable in 1947,MNRE/PIB; 150.26 GW as of 31 March 2026,Scenario/projection/target; assumptions must be documented,3x checked
Energy,Wind capacity,GW,,56.09,200.0,Scenario,N/A or not meaningfully comparable in 1947,MNRE/PIB; 56.09 GW as of 31 March 2026,Scenario/projection/target; assumptions must be documented,3x checked
Energy,Hydropower capacity,GW,0.6,50.0,100.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Energy,Nuclear capacity,GW,0.0,8.8,50.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Energy,Electricity generation,TWh,5.0,1845.921,4000.0,Scenario,Historical official/archival source; exact observation year must be recorded,"MNRE/PIB; FY2025-26 generation through March 2026 = 1,845.921 BU",Scenario/projection/target; assumptions must be documented,3x checked
Energy,Per-capita electricity consumption,kWh/person,16.0,1400.0,3000.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Energy,Renewable share of installed capacity,%,,55.0,80.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Technology & Digital,Internet users,% population,,70.0,95.0,Scenario,N/A or not meaningfully comparable in 1947,World Bank/ITU; latest published India observation = 70% in 2025,Scenario/projection/target; assumptions must be documented,3x checked
Technology & Digital,Mobile subscriptions,million,,1200.0,1600.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Technology & Digital,Broadband subscriptions,million,,1000.0,1500.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Technology & Digital,UPI transactions,billion/month,,23.20193,100.0,Scenario,N/A or not meaningfully comparable in 1947,"NPCI; May 2026 = 23,201.93 million transactions",Scenario/projection/target; assumptions must be documented,3x checked
Technology & Digital,Data centre capacity,MW,,2000.0,10000.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Technology & Digital,IT-BPM exports,US$ billion,,200.0,500.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Technology & Digital,Patent applications,count,,100000.0,500000.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Technology & Digital,R&D expenditure,% GDP,,0.7,2.0,Scenario/target,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Technology & Digital,Researchers,per million people,,300.0,1000.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Technology & Digital,Start-up recognitions,count,,130000.0,500000.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Industry,Steel production,million tonnes,1.0,155.0,300.0,Scenario,Historical official/archival source; exact observation year must be recorded,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Industry,Cement production,million tonnes,,450.0,800.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Industry,Automobile production,million units,,30.0,60.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Industry,Passenger vehicle sales,million units,,4.5,10.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Industry,MSME enterprises,million,,63.0,100.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Industry,Industrial production index,index,,150.0,300.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Industry,Manufacturing employment,million,,60.0,100.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Industry,Pharmaceutical exports,US$ billion,,30.0,100.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Industry,Electronics production,US$ billion,,130.0,500.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
Industry,Textile exports,US$ billion,,35.0,100.0,Scenario,N/A or not meaningfully comparable in 1947,Official Indian statistics / international statistical source; exact observation year must be recorded,Scenario/projection/target; assumptions must be documented,Not yet 3x verified
